cep,latitude,longitude,state,city,neighborhood,street
38400178,-18.92896,-48.281294,MG,Uberlandia,TABAJARAS,RUA VICENTE GUIMARAES MATOS
38400182,-18.919009,-48.281257,MG,Uberlandia,CENTRO,PRACA LUIZ DE FREITAS COSTA
38400186,-18.919992,-48.278143,MG,Uberlandia,CENTRO,PRACA TUBAL VILELA
38400188,-18.927943,-48.282091,MG,Uberlandia,FUNDINHO,RUA JOSE AIUBE
38400192,-18.921792,-48.286131,MG,Uberlandia,TABAJARAS,RUA PRINCESA ISABEL
38400193,-18.920006,-48.283858,MG,Uberlandia,TABAJARAS,PRACA LUZ E CARIDADE
38400194,-18.921442,-48.285453,MG,Uberlandia,TABAJARAS,PRACA JOAO FONSECA
38400196,-18.92161,-48.284205,MG,Uberlandia,FUNDINHO,RUA TEIXEIRA SANTANA
38400198,-18.922809,-48.284031,MG,Uberlandia,FUNDINHO,RUA BERNARDO GUIMARAES
38400199,-18.92303,-48.287321,MG,Uberlandia,TABAJARAS,PRACA NOSSA SENHORA DO CARMO
38400200,-18.923531,-48.285774,MG,Uberlandia,FUNDINHO,RUA TIRADENTES
38400202,-18.925056,-48.283014,MG,Uberlandia,FUNDINHO,RUA VIGARIO
38400204,-18.92612,-48.283717,MG,Uberlandia,FUNDINHO,RUA FELISBERTO CARREJO
38400206,-18.926718,-48.284535,MG,Uberlandia,TABAJARAS,RUA DOM BARRETO
38400208,-18.923939,-48.285184,MG,Uberlandia,TABAJARAS,RUA SILVA JARDIM
38400210,-18.926934,-48.284818,MG,Uberlandia,FUNDINHO,RUA JOAQUIM SARAIVA
38400212,-18.924778,-48.283139,MG,Uberlandia,FUNDINHO,RUA MARECHAL DEODORO
38400214,-18.924419,-48.286592,MG,Uberlandia,TABAJARAS,RUA QUINZE DE NOVEMBRO
38400216,-18.924256,-48.28396,MG,Uberlandia,FUNDINHO,PRACA CICERO MACEDO
38400220,-18.928571,-48.282614,MG,Uberlandia,TABAJARAS,RUA BERNARDINO FONSECA
38400222,-18.929248,-48.283228,MG,Uberlandia,TABAJARAS,RUA CORONEL CONSTANTINO
38400223,-18.930421,-48.28313,MG,Uberlandia,TABAJARAS,RUA MONTE CASTELO
38400224,-18.926462,-48.284911,MG,Uberlandia,TABAJARAS,RUA ENGENHEIRO JAMES MELLOR
38400225,-18.931337,-48.28336,MG,Uberlandia,TABAJARAS,RUA CORONEL ERNESTO
38400226,-18.923591,-48.284457,MG,Uberlandia,FUNDINHO,RUA CORONEL MANOEL ALVES
38400228,-18.926139,-48.287717,MG,Uberlandia,TABAJARAS,RUA CORONEL SEVERIANO
38400229,-18.927629,-48.28543,MG,Uberlandia,TABAJARAS,RUA BENJAMIN MONTEIRO
38400230,-18.927014,-48.285796,MG,Uberlandia,TABAJARAS,RUA JOAO INACIO LEMES
38400232,-18.928193,-48.285033,MG,Uberlandia,TABAJARAS,RUA SOUZA COSTA
38400234,-18.928984,-48.286258,MG,Uberlandia,TABAJARAS,RUA FERNANDO COSTA
38400235,-18.930138,-48.282667,MG,Uberlandia,TABAJARAS,RUA GENERAL OSORIO
38400236,-18.929573,-48.287986,MG,Uberlandia,TABAJARAS,RUA SENADOR SALGADO FILHO
38400237,-18.927287,-48.279431,MG,Uberlandia,TABAJARAS,AVENIDA NICOMEDES ALVES DOS SANTOS
38400238,-18.930221,-48.287918,MG,Uberlandia,TABAJARAS,RUA VIRGILIO MELO FRANCO
38400242,-18.931001,-48.283951,MG,Uberlandia,TABAJARAS,AVENIDA RONDON PACHECO
38400244,-18.93451,-48.285322,MG,Uberlandia,PATRIMONIO,RUA LEBLON
38400246,-18.92921,-48.286492,MG,Uberlandia,TABAJARAS,RUA BOTAFOGO
38400248,-18.929234,-48.287459,MG,Uberlandia,TABAJARAS,RUA ICARAI
38400250,-18.930148,-48.287708,MG,Uberlandia,TABAJARAS,PRACA JOSE ESTEVES
38400252,-18.929516,-48.288636,MG,Uberlandia,TABAJARAS,RUA DA CARIOCA
38400254,-18.929755,-48.289561,MG,Uberlandia,TABAJARAS,AVENIDA DOS MUNICIPIOS
38400256,-18.932016,-48.290595,MG,Uberlandia,PATRIMONIO,RUA TIJUCA
